都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),県庁所在地,風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
埼玉,43056,官,熊谷,ｸﾏｶﾞﾔ,熊谷,熊谷市桜町　熊谷地方気象台,36,9,139,22.8,30,0,16.7,−,#昭50.3.3,43905,−
埼玉,43091,雨,上吉田,ｶﾐﾖｼﾀﾞ,秩父市上吉田,秩父市上吉田,36,3.2,138,58.8,275,0,−,−,昭52.8.25,−,−
埼玉,43121,雨,鴻巣,ｺｳﾉｽ,鴻巣,鴻巣市中央,36,3.9,139,31.3,15,0,−,−,昭50.6.11,−,−
埼玉,43126,四,久喜,ｸｷ,久喜,久喜市六万部,36,5.2,139,38.1,12,0,10,1.5,#昭52.12.20,−,−
埼玉,43151,雨,三峰,ﾐﾂﾐﾈ,秩父市三峰,秩父市三峰,35,55.6,138,55.4,975,0,−,−,昭50.5.16,−,−
埼玉,43156,官,秩父,ﾁﾁﾌﾞ,秩父,秩父市上町　秩父特別地域気象観測所,35,59.4,139,4.4,232,0,17.2,−,#昭50.11.28,43900,−
埼玉,43157,雨,浦山,ｳﾗﾔﾏ,秩父市浦山,秩父市浦山,35,55.2,139,4.2,400,0,−,−,昭52.6.28,−,−
埼玉,43162,雨,ときがわ,ﾄｷｶﾞﾜ,ときがわ,比企郡ときがわ町大字大野字宮澤,35,59.4,139,12.4,295,0,−,−,平12.4.28,−,−
埼玉,43171,四,鳩山,ﾊﾄﾔﾏ,鳩山,比企郡鳩山町大字赤沼,35,59.1,139,20.1,44,0,6.5,1.5,昭52.12.22,−,−
埼玉,43231,雨,飯能,ﾊﾝﾉｳ,飯能,飯能市征矢町,35,50.3,139,19.3,84,0,−,−,#,−,−
埼玉,43241,四,さいたま,ｻｲﾀﾏ,さいたま市桜区,さいたま市桜区大字宿,35,52.5,139,35.2,8,1,9.9,1.5,#昭52.12.22,43910,−
埼玉,43256,四,越谷,ｺｼｶﾞﾔ,越谷,越谷市大字北後谷,35,53,139,45.4,3,0,10,1.5,#昭52.12.20,−,−
埼玉,43266,四,所沢,ﾄｺﾛｻﾞﾜ,所沢,所沢市勝楽寺,35,46.4,139,24.8,119,0,10,1.5,(昭50.6.11)昭52.12.21,−,湿度を除く
東京,44046,四,小河内,ｵｺﾞｳﾁ,奥多摩町小河内,西多摩郡奥多摩町原,35,47.5,139,3,530,0,9.9,1.5,#昭51.12.15,−,−
東京,44051,雨,小沢,ｵｻﾞﾜ,檜原村小沢,西多摩郡檜原村,35,44.1,139,7.4,420,0,−,−,昭52.8.2,−,−
東京,44056,四,青梅,ｵｳﾒ,青梅市新町,青梅市新町,35,47.3,139,18.7,155,0,10,1.5,(昭50.5.16)昭51.12.14,−,湿度を除く
東京,44071,四,練馬,ﾈﾘﾏ,練馬区石神井台,練馬区石神井台,35,44.3,139,35.5,51,0,11.3,1.5,平24.12.26,−,−
東京,44112,四,八王子,ﾊﾁｵｳｼﾞ,八王子市元本郷町,八王子市元本郷町,35,40,139,19,123,0,49.8,1.5,昭58.9.30,−,−
東京,44116,四,府中,ﾌﾁｭｳ,府中市幸町,府中市幸町,35,41,139,29,59,0,9.3,1.5,昭51.12.14,−,−
東京,44126,雨,世田谷,ｾﾀｶﾞﾔ,世田谷区岡本,世田谷区岡本,35,37.6,139,37.2,35,0,−,−,#,−,−
東京,44132,官,東京,ﾄｳｷｮｳ,千代田区北の丸公園,千代田区北の丸公園　東京管区気象台,35,41.5,139,45,25,1,−,−,平19.11.1,44900,気温、雨
東京,44136,四,江戸川臨海,ｴﾄﾞｶﾞﾜﾘﾝｶｲ,江戸川区臨海町,江戸川区臨海町,35,38.3,139,51.8,5,0,10.2,1.5,#昭51.12.13,−,湿度を除く
東京,44166,官,羽田,ﾊﾈﾀﾞ,大田区羽田,大田区羽田空港　東京航空地方気象台,35,33.2,139,46.8,6,0,10,−,#平5.10.12,−,日照・湿度・気圧を除く
東京,44172,官,大島,ｵｵｼﾏ,大島元町,大島町元町字家の上　大島特別地域気象観測所,34,44.9,139,21.7,74,0,27.1,−,平3.12.18,−,−
東京,44173,官,大島北ノ山,ｵｵｼﾏｷﾀﾉﾔﾏ,大島北の山,大島町元町字北の山　大島航空気象観測所,34,46.9,139,21.6,38,0,9,−,平15.1.1,−,日照・湿度・気圧を除く
東京,44191,雨,利島,ﾄｼﾏ,利島,利島村,34,31.7,139,16.9,100,0,−,−,平26.7.25,−,−
東京,44207,官,新島,ﾆｲｼﾞﾏ,新島川原,新島村川原　新島航空気象観測所,34,22.1,139,16.1,29,0,10,−,平15.1.1,−,日照・湿度・気圧を除く
東京,44216,官,神津島,ｺｳﾂﾞｼﾏ,神津島空港,神津島村金長　神津島航空気象観測所,34,11.3,139,8,138,0,10,−,平15.1.1,−,日照・湿度・気圧を除く
東京,44226,官,三宅島,ﾐﾔｹｼﾞﾏ,三宅島神着,三宅村神着　三宅島特別地域気象観測所,34,7.4,139,31.2,38,0,13.2,−,#昭50.12.10,−,−
東京,44228,官,三宅坪田,ﾐﾔｹﾂﾎﾞﾀ,三宅島坪田,三宅村坪田　三宅島航空気象観測所,34,4.4,139,33.6,20,0,10,−,平12.9.11,−,日照・湿度・気圧を除く
東京,44262,官,八重見ヶ原,ﾔｴﾐｶﾞﾊﾗ,八丈島八重見ヶ原,八丈島八丈町大賀郷　八丈島航空気象観測所,33,6.9,139,47.1,92,0,10,−,平15.1.1,−,日照・湿度・気圧を除く
東京,44263,官,八丈島,ﾊﾁｼﾞｮｳｼﾞﾏ,八丈島西見,八丈島八丈町大賀郷　八丈島特別地域気象観測所,33,7.3,139,46.7,151,0,−,−,昭50.3.13,−,気温、雨
東京,44281,雨,青ヶ島,ｱｵｶﾞｼﾏ,青ヶ島,青ヶ島村,32,28,139,45.6,272,0,−,−,平26.7.31,−,−
東京,44301,官,父島,ﾁﾁｼﾞﾏ,父島,小笠原村父島字西町　父島気象観測所,27,5.5,142,11.4,3,0,15.8,−,昭61.3.18,−,−
東京,44316,雨,母島,ﾊﾊｼﾞﾏ,母島,小笠原村母島字評議平,26,38.1,142,9.7,32,0,−,−,平19.8.29,−,−
東京,44356,官,南鳥島,ﾐﾅﾐﾄﾘｼﾏ,,小笠原村南鳥島　南鳥島気象観測所,24,17.3,153,59,7,0,15.8,−,平22.6.1,−,−
千葉,45061,四,我孫子,ｱﾋﾞｺ,我孫子,我孫子市新木野,35,51.8,140,6.6,20,0,10,1.5,平22.3.11,−,−
千葉,45081,四,香取,ｶﾄﾘ,香取,香取市大根,35,51.5,140,30.1,37,0,7.8,1.5,平11.10.12,−,−
千葉,45086,雨,東庄,ﾄｳﾉｼｮｳ,東庄,香取郡東庄町小南,35,47.7,140,40.9,52,0,−,−,#,−,−
千葉,45106,四,船橋,ﾌﾅﾊﾞｼ,船橋,船橋市薬円台,35,42.7,140,2.6,28,0,7.9,1.5,平11.8.3,−,−
千葉,45116,四,佐倉,ｻｸﾗ,佐倉,佐倉市角来字屋敷前,35,43.7,140,12.7,5,0,10.3,1.5,(昭50.4.16)昭53.12.18,−,−
千葉,45148,官,銚子,ﾁｮｳｼ,銚子,銚子市川口町　銚子地方気象台,35,44.3,140,51.4,20,0,−,−,令5.12.6,45900,気温、雨、日照
千葉,45181,四,横芝光,ﾖｺｼﾊﾞﾋｶﾘ,横芝光,山武郡横芝光町宮川,35,39.3,140,30.3,5,0,10.2,1.5,(昭50.5.16)昭53.1.10,−,−
千葉,45212,官,千葉,ﾁﾊﾞ,千葉市中央区,千葉市中央区中央港　千葉特別地域気象観測所,35,36.1,140,6.2,3,1,47.9,−,昭56.3.30,45905,−
千葉,45261,四,茂原,ﾓﾊﾞﾗ,茂原,茂原市高師,35,26.2,140,17.6,11,0,9.9,1.5,#昭53.1.11,−,−
千葉,45282,四,木更津,ｷｻﾗﾂﾞ,木更津,木更津市請西南,35,21.7,139,56.4,60,0,10,1.5,平18.9.22,−,−
千葉,45291,四,牛久,ｳｼｸ,市原市牛久,市原市米沢,35,23.8,140,8.9,30,0,9.3,1.5,昭53.1.11,−,−
千葉,45326,四,坂畑,ｻｶﾊﾀ,君津市坂畑,君津市坂畑,35,14.1,140,5.9,120,0,9.9,1.5,昭53.1.12,−,−
千葉,45331,雨,大多喜,ｵｵﾀｷ,大多喜,夷隅郡大多喜町松尾,35,15.1,140,12.9,70,0,−,−,昭50.5.16,−,−
千葉,45346,雨,鋸南,ｷｮﾅﾝ,鋸南,安房郡鋸南町大六,35,7.3,139,50.2,10,0,−,−,#,−,−
千葉,45361,四,鴨川,ｶﾓｶﾞﾜ,鴨川,鴨川市横渚,35,6.7,140,6,5,0,9.9,1.5,#昭53.1.13,−,−
千葉,45371,官,勝浦,ｶﾂｳﾗ,勝浦,勝浦市墨名　勝浦特別地域気象観測所,35,9,140,18.7,12,0,15.2,−,#昭50.12.7,−,−
千葉,45401,官,館山,ﾀﾃﾔﾏ,館山,館山市長須賀　館山特別地域気象観測所,34,59.2,139,51.9,6,0,21.8,−,#昭50.3.12,−,−
神奈川,46001,雨,相模湖,ｻｶﾞﾐｺ,相模原市相模湖,相模原市緑区与瀬,35,36.8,139,11.6,188,0,−,−,#,−,−
神奈川,46046,雨,相模原中央,ｻｶﾞﾐﾊﾗﾁｭｳｵｳ,相模原市中央,相模原市中央区中央,35,34.3,139,22.2,149,0,−,−,昭50.5.16,−,−
神奈川,46061,雨,日吉,ﾋﾖｼ,横浜市港北区日吉,横浜市港北区日吉,35,33.1,139,39,57,0,−,−,昭50.5.16,−,−
神奈川,46076,雨,丹沢湖,ﾀﾝｻﾞﾜｺ,山北町丹沢湖,足柄上郡山北町神尾田,35,24.6,139,2.6,330,0,−,−,昭51.5.26,−,−
神奈川,46091,四,海老名,ｴﾋﾞﾅ,海老名,海老名市中新田,35,26,139,23.2,18,0,6.5,1.5,#昭53.1.17,−,−
神奈川,46106,官,横浜,ﾖｺﾊﾏ,横浜市中区山手町,横浜市中区山手町　横浜地方気象台,35,26.3,139,39.1,39,1,19.8,−,#昭50.3.8,46900,−
神奈川,46136,雨,平塚,ﾋﾗﾂｶ,平塚,平塚市公所,35,20.7,139,18.3,20,0,−,−,昭50.5.16,−,−
神奈川,46141,四,辻堂,ﾂｼﾞﾄﾞｳ,藤沢市辻堂,藤沢市辻堂西海岸,35,19.2,139,27,5,0,9.9,1.5,平4.2.10,−,−
神奈川,46161,雨,箱根,ﾊｺﾈ,箱根,足柄下郡箱根町芦ノ湯,35,13.3,139,2.5,855,0,−,−,#,−,−
神奈川,46166,四,小田原,ｵﾀﾞﾜﾗ,小田原,小田原市扇町,35,16.6,139,9.3,14,0,9.9,1.5,(昭50.5.16)昭53.1.17,−,−
神奈川,46211,四,三浦,ﾐｳﾗ,三浦,三浦市初声町下宮田,35,10.7,139,37.8,42,0,9.9,1.5,#昭53.1.20,−,−
長野,48031,四,野沢温泉,ﾉｻﾞﾜｵﾝｾﾝ,野沢温泉,下高井郡野沢温泉村大字豊郷字南原,36,54.7,138,26.5,576,0,10,3,#昭53.11.16,48900,−
長野,48061,四,信濃町,ｼﾅﾉﾏﾁ,信濃町,上水内郡信濃町柏原字小丸山,36,48.5,138,11.8,685,0,9.5,3,#昭53.11.17,48905,湿度を除く
長野,48066,四,飯山,ｲｲﾔﾏ,飯山,飯山市大字飯山字大道東,36,52.5,138,22.5,313,0,9.9,3,#昭53.11.16,48910,−
長野,48097,雨,小谷,ｵﾀﾘ,小谷,北安曇郡小谷村大字中土,36,49.3,137,55.8,550,0,−,−,昭58.10.13,48915,−
長野,48141,四,白馬,ﾊｸﾊﾞ,白馬,北安曇郡白馬村北城,36,41.9,137,51.7,703,0,10,3,#昭53.11.21,48920,湿度を除く
長野,48146,雨,鬼無里,ｷﾅｻ,長野市鬼無里,長野市鬼無里,36,41.3,137,57.9,778,0,−,−,昭52.6.29,−,−
長野,48156,官,長野,ﾅｶﾞﾉ,長野市箱清水,長野市箱清水　長野地方気象台,36,39.7,138,11.5,418,1,18.8,−,#昭50.3.24,48925,−
長野,48172,雨,笠岳,ｶｻﾀﾞｹ,高山村笠岳,上高井郡高山村大字奥山田字山田入,36,39.9,138,27.5,1473,0,−,−,昭54.7.12,−,−
長野,48191,四,大町,ｵｵﾏﾁ,大町,大町市大町,36,31.4,137,49.9,784,0,10,2,#昭53.11.20,48930,−
長野,48196,四,信州新町,ｼﾝｼｭｳｼﾝﾏﾁ,長野市信州新町,長野市信州新町牧田中,36,32.9,137,59.8,509,0,9.5,1.5,#昭53.11.17,−,湿度を除く
長野,48216,四,菅平,ｽｶﾞﾀﾞｲﾗ,上田市菅平,上田市菅平高原,36,31.9,138,19.5,1253,0,10,2,(昭50.5.14)昭53.11.15,48935,−
長野,48247,雨,聖高原,ﾋｼﾞﾘｺｳｹﾞﾝ,麻績村聖高原,東筑摩郡麻績村麻字猿ヶ馬場峯山,36,29.2,138,4.1,985,0,−,−,昭54.7.19,−,−
長野,48256,四,上田,ｳｴﾀﾞ,上田市古里,上田市古里,36,24,138,15.9,502,0,6.5,1.5,#昭51.3.16,−,−
長野,48296,四,穂高,ﾎﾀｶ,安曇野市穂高,安曇野市穂高,36,20.6,137,52.9,540,0,10,1.5,#昭53.11.21,−,湿度を除く
長野,48321,四,東御,ﾄｳﾐ,東御,東御市新張,36,23,138,23,958,0,10,1.5,(昭50.5.14)昭53.12.1,−,−
長野,48331,官,軽井沢,ｶﾙｲｻﾞﾜ,軽井沢,北佐久郡軽井沢町大字追分　軽井沢特別地域気象観測所,36,20.5,138,32.8,999,0,−,−,#昭50.12.2,48938,気温、雨
長野,48346,雨,上高地,ｶﾐｺｳﾁ,松本市上高地,松本市安曇上高地国有林,36,14.9,137,38,1510,0,−,−,昭50.5.14,−,−
長野,48361,官,松本,ﾏﾂﾓﾄ,松本市沢村,松本市沢村　松本特別地域気象観測所,36,14.8,137,58.2,610,0,17.6,−,#昭50.3.12,48936,−
長野,48363,官,松本今井,ﾏﾂﾓﾄｲﾏｲ,松本空港,松本市大字空港東　松本航空気象観測所,36,10,137,55.3,658,0,10,−,平15.1.1,−,日照・湿度・気圧を除く
長野,48371,雨,鹿教湯,ｶｹﾕ,上田市鹿教湯,上田市鹿教湯温泉,36,18.1,138,8.2,721,0,−,−,#,−,−
長野,48381,四,立科,ﾀﾃｼﾅ,立科,北佐久郡立科町芦田,36,16.3,138,18.8,715,0,10,1.5,昭53.12.1,−,湿度を除く
長野,48386,四,佐久,ｻｸ,佐久市中込,佐久市中込,36,14.8,138,28.6,683,0,10,1.5,#昭53.12.1,−,湿度を除く
長野,48436,雨,白樺湖,ｼﾗｶﾊﾞｺ,茅野市白樺湖,茅野市北山,36,6.3,138,13.7,1440,0,−,−,平16.9.9,−,−
長野,48466,四,奈川,ﾅｶﾞﾜ,松本市奈川,松本市奈川,36,5.3,137,41,1068,0,10,2,昭53.11.22,−,−
長野,48491,官,諏訪,ｽﾜ,諏訪,諏訪市湖岸通り　諏訪特別地域気象観測所,36,2.7,138,6.5,760,0,−,−,昭50.12.4,48937,気温、雨
長野,48516,雨,北相木,ｷﾀｱｲｷ,北相木,南佐久郡北相木村字板置場,36,4.3,138,36.7,1185,0,−,−,平16.9.8,−,−
長野,48531,四,開田高原,ｶｲﾀﾞｺｳｹﾞﾝ,木曽町開田高原,木曽郡木曽町開田高原西野,35,56.3,137,36.1,1130,0,9.9,2,昭53.11.24,48940,−
長野,48536,四,木祖薮原,ｷｿﾔﾌﾞﾊﾗ,木祖村薮原,木曽郡木祖村薮原,35,56.2,137,47.2,985,0,11.3,1.5,令元.9.5,−,湿度を除く
長野,48546,四,辰野,ﾀﾂﾉ,辰野,上伊那郡辰野町中央,35,59,137,59,732,0,10,1.5,昭53.11.30,−,湿度を除く
長野,48556,雨,高遠,ﾀｶﾄｵ,伊那市高遠,伊那市高遠町藤沢,35,57.2,138,6.5,1075,0,−,−,平16.9.9,−,−
長野,48561,四,原村,ﾊﾗﾑﾗ,原村,諏訪郡原村向坂上,35,58.2,138,13.2,1017,0,10,1.5,#昭53.11.27,−,湿度を除く
